#temps  Wn_tot  -Wt_tot  Wp_tot  Wint_tot  KEr_tot  
0.336 0.00327443 0.417589 4.38625 2.78297 0.277319
0.338 0.00327962 0.419715 4.40224 2.79304 0.278075
0.34 0.00328558 0.42183 4.41812 2.80304 0.278843
0.342 0.00329134 0.423934 4.43386 2.81294 0.279616
0.344 0.00329789 0.42603 4.44946 2.82277 0.280403
0.346 0.00330383 0.428118 4.46493 2.83252 0.281201
0.348 0.00330836 0.430192 4.48028 2.84217 0.281984
0.35 0.00331129 0.432263 4.49548 2.85175 0.282797
0.352 0.00331593 0.434323 4.51054 2.86123 0.283602
0.354 0.0033208 0.436378 4.52547 2.87063 0.284422
0.356 0.00332776 0.438417 4.54026 2.87992 0.285209
0.358 0.00333355 0.440452 4.55493 2.88914 0.286012
0.36 0.00333751 0.44247 4.56946 2.89825 0.286779
0.362 0.00334247 0.444484 4.58388 2.90729 0.287557
0.364 0.00334963 0.446485 4.59817 2.91625 0.288324
0.366 0.00342146 0.448519 4.61229 2.92531 0.289467
0.368 0.00346603 0.450448 4.62622 2.93394 0.290319
0.37 0.00348724 0.452414 4.64012 2.94266 0.291073
0.372 0.00350669 0.454363 4.65384 2.95131 0.291846
0.374 0.00351512 0.456289 4.66749 2.95982 0.292505
0.376 0.00352379 0.458209 4.68101 2.96833 0.293239
0.378 0.00352993 0.460112 4.69443 2.97672 0.293897
0.38 0.00353646 0.462003 4.70774 2.98509 0.294591
0.382 0.00354271 0.463878 4.72095 2.99336 0.295232
0.384 0.00354719 0.465741 4.73406 3.00159 0.295885
0.386 0.00355272 0.467591 4.74707 3.00975 0.296518
0.388 0.00355783 0.469422 4.75998 3.01785 0.297128
0.39 0.00356277 0.471245 4.77281 3.0259 0.297739
0.392 0.00356907 0.47305 4.78554 3.03389 0.298335
0.394 0.00357528 0.474842 4.79818 3.04183 0.298912
0.396 0.00358207 0.476619 4.81073 3.04972 0.299487
0.398 0.00358982 0.478385 4.82319 3.05757 0.300054
0.4 0.00360015 0.480139 4.83556 3.06538 0.300635
0.402 0.00360912 0.481876 4.84784 3.07311 0.301181
0.404 0.00361688 0.483602 4.86003 3.08082 0.30174
0.406 0.00362589 0.485314 4.87213 3.08847 0.30228
0.408 0.00363319 0.487013 4.88415 3.09608 0.302818
0.41 0.00364042 0.4887 4.89608 3.10364 0.303351
0.412 0.00364637 0.490374 4.90792 3.11114 0.303873
0.414 0.00365308 0.492036 4.91967 3.1186 0.304397
0.416 0.00366034 0.493685 4.93134 3.126 0.304922
0.418 0.00367003 0.495325 4.94291 3.13336 0.305461
0.42 0.00367966 0.496953 4.95438 3.14066 0.305992
0.422 0.00368643 0.498573 4.96576 3.1479 0.306539
0.424 0.00369283 0.500176 4.97705 3.15508 0.30706
0.426 0.00369953 0.501771 4.98825 3.16219 0.307584
0.428 0.00370623 0.503356 4.99935 3.16926 0.308112
0.43 0.0037167 0.504932 5.01037 3.17626 0.308646
0.432 0.00372765 0.506501 5.02129 3.18321 0.309189
0.434 0.00373421 0.508073 5.03209 3.19011 0.309771
0.436 0.00373994 0.509622 5.0428 3.1969 0.310294
0.438 0.00374437 0.51117 5.05342 3.20365 0.310831
0.44 0.00374922 0.512707 5.06395 3.21033 0.311364
0.442 0.00375382 0.514237 5.07438 3.21695 0.311883
0.444 0.00375964 0.515757 5.08473 3.2235 0.3124
0.446 0.00376546 0.517269 5.09499 3.22998 0.312899
0.448 0.00377077 0.518772 5.10517 3.2364 0.313393
0.45 0.00377633 0.520265 5.11527 3.24276 0.313874
0.452 0.00378107 0.52175 5.12529 3.24905 0.314346
0.454 0.00378667 0.523225 5.13523 3.25529 0.314811
0.456 0.00379067 0.524689 5.1451 3.26146 0.315255
