#temps  Wn_tot  -Wt_tot  Wp_tot  Wint_tot  KEr_tot  
0.812 0.0034032 0.680827 6.36544 4.00796 0.397661
0.814 0.00340405 0.681154 6.36751 4.00928 0.39771
0.816 0.0034048 0.681479 6.36955 4.01059 0.397757
0.818 0.00340565 0.681802 6.37158 4.01189 0.397805
0.82 0.00340648 0.682123 6.3736 4.01318 0.397851
0.822 0.00340732 0.682441 6.3756 4.01446 0.397897
0.824 0.00340806 0.682757 6.37759 4.01573 0.397942
0.826 0.00340899 0.68307 6.37956 4.01699 0.397987
0.828 0.00340984 0.683382 6.38152 4.01824 0.39803
0.83 0.00341073 0.683691 6.38346 4.01948 0.398074
0.832 0.00341166 0.683998 6.38539 4.02072 0.398116
0.834 0.0034125 0.684302 6.3873 4.02194 0.398158
0.836 0.00341354 0.684605 6.3892 4.02316 0.398199
0.838 0.00341459 0.684905 6.39109 4.02436 0.39824
0.84 0.00341546 0.685203 6.39296 4.02556 0.39828
0.842 0.00341672 0.685499 6.39482 4.02675 0.39832
0.844 0.00341826 0.685794 6.39667 4.02793 0.398359
0.846 0.0034193 0.686086 6.3985 4.0291 0.398398
0.848 0.00342067 0.686375 6.40032 4.03027 0.398436
0.85 0.00342182 0.686664 6.40212 4.03142 0.398474
0.852 0.00342295 0.68695 6.40392 4.03257 0.398511
0.854 0.00342439 0.687233 6.4057 4.03371 0.398547
0.856 0.00342574 0.687516 6.40747 4.03484 0.398584
0.858 0.00342679 0.687795 6.40922 4.03596 0.39862
0.86 0.00342804 0.688074 6.41096 4.03708 0.398655
0.862 0.00342922 0.68835 6.41269 4.03819 0.398689
0.864 0.00343054 0.688624 6.41441 4.03929 0.398724
0.866 0.00343206 0.688897 6.41612 4.04038 0.398758
0.868 0.00343354 0.689167 6.41781 4.04146 0.398791
0.87 0.00343522 0.689436 6.41949 4.04254 0.398825
0.872 0.00343684 0.689703 6.42116 4.0436 0.398857
0.874 0.00343834 0.689968 6.42282 4.04467 0.398889
0.876 0.00344015 0.690231 6.42447 4.04572 0.398921
0.878 0.00344172 0.690493 6.4261 4.04676 0.398951
0.88 0.00344337 0.690753 6.42772 4.0478 0.398983
0.882 0.00344522 0.691011 6.42934 4.04884 0.399014
0.884 0.00344697 0.691268 6.43094 4.04986 0.399044
0.886 0.00344866 0.691523 6.43253 4.05088 0.399074
0.888 0.00345026 0.691777 6.43411 4.05189 0.399103
0.89 0.00345184 0.692029 6.43568 4.0529 0.399133
0.892 0.0034534 0.69228 6.43724 4.0539 0.399162
0.894 0.00345468 0.69253 6.43878 4.05489 0.39919
0.896 0.00345621 0.692778 6.44032 4.05587 0.399218
0.898 0.00345792 0.693025 6.44185 4.05685 0.399245
0.9 0.00345961 0.693271 6.44337 4.05783 0.399272
0.902 0.00346153 0.693515 6.44488 4.0588 0.399299
0.904 0.00346336 0.693758 6.44638 4.05976 0.399324
0.906 0.00346498 0.693999 6.44787 4.06071 0.399351
0.908 0.00346675 0.69424 6.44935 4.06166 0.399376
0.91 0.00346824 0.694478 6.45082 4.0626 0.399401
0.912 0.00346983 0.694716 6.45228 4.06354 0.399426
0.914 0.00347153 0.694952 6.45373 4.06447 0.399451
0.916 0.00347335 0.695186 6.45517 4.06539 0.399475
0.918 0.00347547 0.695419 6.4566 4.06631 0.3995
